Date,Open,High,Low,Close,Volume
2021-10-14,36.69143313406478,36.83568559027772,36.25866929148035,36.8187141418457,3260800
2021-10-15,37.183588960077394,37.404214533552185,36.76779983902283,36.99690628051758,4113000
2021-10-18,36.784765999580905,37.70968876691131,36.784765999580905,37.378753662109375,4664400
2021-10-19,37.66726534711756,37.70120824236453,36.92053783654739,37.27693176269531,4724900
2021-10-20,37.35330734103421,38.6940195375243,37.141169068927226,38.6855354309082,4893100
2021-10-21,38.61764426957532,38.87221275034559,37.930318435019146,38.252769470214844,3869400
2021-10-22,38.57522251121088,38.75341788239051,38.25277466916387,38.60068130493164,2947800
2021-10-25,38.83826780539967,38.9655488020963,38.532788234171704,38.67704391479492,2428200
2021-10-26,38.68552498973867,38.68552498973867,37.989711903984606,38.006683349609375,2714400
2021-10-27,37.845454438447724,37.913340217724816,36.66596653777136,36.69142532348633,3692800
2021-10-28,36.81022869814221,37.34481473794206,36.81022869814221,37.32784652709961,3146000
2021-10-29,37.37875553691962,37.633320765922264,36.878109183859664,36.93750762939453,3726300
2021-11-01,37.27693756667893,37.80303957703,37.242994666147084,37.73515701293945,4087900
2021-11-02,37.624838551040405,37.624838551040405,37.13267627820228,37.33633041381836,4092400
2021-11-03,37.15813014494699,38.12547987776456,37.115703149765416,37.93031311035156,3532300
2021-11-04,37.91334654560846,37.91334654560846,36.90356968761704,37.319358825683594,6390800
2021-11-05,37.78606686993107,37.879408224802376,37.183594971909216,37.40422058105469,2600900
2021-11-08,37.58240840340674,37.89637206742741,37.310871736636585,37.556949615478516,2266600
2021-11-09,37.35329458673117,37.5230057938634,37.06478650569799,37.41269302368164,4174100
2021-11-10,37.42967167939264,37.82849260744548,37.26844454491715,37.361785888671875,3359900
2021-11-11,37.47209590376115,37.76060401900322,37.31087201820357,37.59089279174805,3055900
2021-11-12,37.446640004402845,37.726660775343454,37.07327466051885,37.514522552490234,3428500
2021-11-15,37.573926234424434,38.133971091358546,37.4890722282419,37.86243438720703,3048000
2021-11-16,37.921822602831384,38.35458633367738,37.69271296361386,38.04062271118164,3155800
2021-11-17,37.964261867972525,38.006688869710416,37.36178679019264,37.50604248046875,4331400
2021-11-18,37.438152455196345,37.75211935389835,37.098733242696646,37.45512390136719,4077000
2021-11-19,37.00538591840748,37.0902398985568,36.25017448937415,36.954471588134766,3523100
2021-11-22,37.548473024017476,37.88789554388256,37.16662349841252,37.472103118896484,3670900
2021-11-23,37.82849188560764,38.12548412191217,37.54846785968686,38.04911422729492,2807300
2021-11-24,38.10851155521292,38.41399112470922,37.71817798839988,37.845458984375,3474200
2021-11-26,36.40292562665811,36.76780368194936,35.214950111248534,36.046531677246094,5680900
2021-11-29,36.61505834088236,36.81870922090234,35.86833089454024,36.47929000854492,5629000
2021-11-30,36.012591758992144,36.18230302337218,35.38466428885111,35.76651382446289,9155400
2021-12-01,36.699907630225894,37.20055389847548,35.41010701987149,35.41859436035156,5277400
2021-12-02,35.82590676905055,37.61635402067277,35.74953687367894,37.28541564941406,6366500
2021-12-03,37.28541250605125,37.607863507877276,36.18229440577231,36.53020095825195,5418100
2021-12-06,37.090248058147154,37.599381761964466,36.75931293100081,36.97993850708008,4701300
2021-12-07,37.23450932101349,37.56544449775865,37.07328216733648,37.40422058105469,7327700
2021-12-08,37.675756463417734,38.09154564243872,37.285419602922566,37.302391052246094,3941800
2021-12-09,37.20904528375449,37.42118351966408,36.74234181214789,37.12419128417969,2995600
2021-12-10,37.27693468321094,37.40421893187304,36.62354846489313,37.1326789855957,3099800
2021-12-13,36.96295875037626,37.132666709857865,35.944694808627446,35.9786376953125,4213700
2021-12-14,36.071978069256915,36.8950753203013,35.98712408412683,36.589595794677734,5782500
2021-12-15,36.81023757924763,37.226026821630505,36.216249710298605,36.84417724609375,4360200
2021-12-16,37.26844275079522,37.709690658320305,36.810226633379465,36.93750762939453,5075400
2021-12-17,36.82720507013011,36.87811618341018,35.55437544655842,35.8598518371582,11255800
2021-12-20,35.31677879071349,35.34223758462103,34.256087425472444,34.943416595458984,5621300
2021-12-21,35.41859668953819,36.173808193330615,35.333739464016915,36.07197952270508,5457500
2021-12-22,35.927731938219814,36.36049251731648,35.74104925387835,36.233211517333984,2333800
2021-12-23,36.49626201729221,36.945997295021115,36.42837946254255,36.547176361083984,2605600
2021-12-27,36.54717120155535,37.0987318520288,36.30109009676121,37.08176040649414,2347400
2021-12-28,37.03933720721097,37.39572788904757,36.903568865991424,37.1496467590332,3294500
2021-12-29,37.30238739384634,37.51452563412568,36.92902525626485,37.2514762878418,5400300
2021-12-30,37.217295474957716,37.721386597934526,37.217295474957716,37.251468658447266,2329400
2021-12-31,37.19165583031612,37.43943011341349,37.06349907851176,37.208744049072266,2572800
2022-01-03,37.58469275271516,38.22548653514266,37.58469275271516,38.16567611694336,4020900
2022-01-04,38.50743300990825,39.968442010090186,38.50743300990825,39.78902053833008,5534000
2022-01-05,40.053883807709845,40.421272499441436,39.566880799460186,39.66940689086914,5632100
2022-01-06,40.42981278596694,41.420906973732784,40.38709385513778,41.32692337036133,5831700
2022-01-07,41.23293699054181,41.822469277722384,40.9680776816882,41.69430923461914,5191200
2022-01-10,41.96771428461046,42.215488629679236,40.9680776816882,41.69430923461914,4560200
2022-01-11,41.93353954182994,42.07024206175318,41.352553017344874,41.90790557861328,4022100
2022-01-12,41.91645365844461,42.55724736745067,41.822470059644466,42.036067962646484,5511900
2022-01-13,42.36074123838216,42.8562867200748,42.13005509269494,42.32656478881836,5476900
2022-01-14,41.66013709426031,43.14678005907677,41.52343455513603,43.104061126708984,5695500
2022-01-18,43.12969005950071,43.2663925929997,42.130053394397855,42.39491271972656,6226900
2022-01-19,42.55724922200382,42.574337446098085,40.83992018185269,40.98516845703125,8122200
2022-01-20,41.17312425190792,41.694303576238184,39.75483452533868,39.831729888916016,6461300
2022-01-21,39.472894247036876,39.73775356836023,38.34509754791401,38.4818000793457,8255900
2022-01-24,37.83246397367531,38.98589474070549,37.05496764593455,38.85773468017578,7575500
2022-01-25,38.53306322311454,38.84919048939266,37.46507362979933,38.3792724609375,7688500
